Name,degree centrality,closeness centrality,betweenness centrality
SLC6A7,0.0003631741420010895,0.0,0.0
SEMA6A,0.0008171418195024514,0.0,0.0
PEX5L,0.0003631741420010895,0.0,0.0
KLHL1,0.000726348284002179,0.0,0.0
KRT10,0.00027238060650081714,0.0,0.0
FRMD4A,0.00018158707100054475,0.0,0.0
FRMPD4,0.00027238060650081714,0.0,0.0
GPR52,0.0008171418195024514,0.0,0.0
FKTN,9.079353550027238e-05,0.0,0.0
CLDN8,0.00027238060650081714,0.0,0.0
AFF2,0.0003631741420010895,0.0,0.0
C1QTNF3,0.00027238060650081714,0.0,0.0
AMBRA1,0.00045396767750136187,0.0,0.0
BHLHB9,0.0003631741420010895,0.0,0.0
CPA2,0.0005447612130016343,0.0,0.0
CNTN5,0.0005447612130016343,0.0,0.0
C3orf52,0.0003631741420010895,0.0,0.0
EHF,0.0016342836390049029,0.0,0.0
TSPAN5,0.00027238060650081714,0.0,0.0
ZNF157,9.079353550027238e-05,0.0,0.0
PRPS1L1,0.0003631741420010895,0.0,0.0
SYDE1,9.079353550027238e-05,0.0,0.0
RMI1,0.0009079353550027237,0.0,0.0
PUM2,0.0003631741420010895,0.0,0.0
PTGIS,0.00027238060650081714,0.0,0.0
PLVAP,9.079353550027238e-05,0.0,0.0
KCNJ15,0.00027238060650081714,0.0,0.0
OR51E2,0.0006355547485019066,0.0,0.0
NUBP2,0.00045396767750136187,0.0,0.0
MMRN1,9.079353550027238e-05,0.0,0.0
MTSS1L,0.0005447612130016343,0.0,0.0
LPAR4,0.00045396767750136187,0.0,0.0
ITCH,0.0008171418195024514,0.0,0.0
GPR137B,0.00018158707100054475,0.0,0.0
SPTBN2,0.00027238060650081714,0.0,0.0
WISP3,0.00018158707100054475,0.0,0.0
TRAT1,9.079353550027238e-05,0.0,0.0
TBC1D8B,0.00018158707100054475,0.0,0.0
PHEX,0.0005447612130016343,0.0,0.0
ART3,0.0003631741420010895,0.0,0.0
SLC43A3,0.0003631741420010895,0.0,0.0
PLEKHO1,0.00027238060650081714,0.0,0.0
NAV3,0.00018158707100054475,0.0,0.0
NDOR1,0.0003631741420010895,0.0,0.0
MPPED1,0.00045396767750136187,0.0,0.0
KCNC2,0.00045396767750136187,0.0,0.0
GAP43,0.0008171418195024514,0.0,0.0
DYRK2,0.0008171418195024514,0.0,0.0
PCDHB6,0.00027238060650081714,0.0,0.0
FOXJ2,0.02823678954058471,0.36108521924512593,0.00016282353304763574
UNC50,0.0005447612130016343,0.0,0.0
VGLL4,0.0009079353550027237,0.0,0.0
TRMT1L,0.0006355547485019066,0.0,0.0
TAAR2,0.0005447612130016343,0.0,0.0
TOX3,0.0003631741420010895,0.0,0.0
TFB1M,0.0005447612130016343,0.0,0.0
TEX264,0.0005447612130016343,0.0,0.0
SPON1,0.00027238060650081714,0.0,0.0
SSR3,0.000726348284002179,0.0,0.0
SLC4A10,0.00018158707100054475,0.0,0.0
SLC27A6,9.079353550027238e-05,0.0,0.0
SLC12A1,0.00027238060650081714,0.0,0.0
SCN2B,0.0003631741420010895,0.0,0.0
ROGDI,0.00045396767750136187,0.0,0.0
PRDM12,0.0010895224260032686,0.0,0.0
PPFIBP1,0.0003631741420010895,0.0,0.0
