cMaxDriver_L,cMaxDriver_B,cMaxDriver_C
SCAND1,NR1I3,NFYB
ZNF446,DDX54,TWIST2
NAB1,KLF9,VDR
ASCC3,ID4,DDX20
CNOT8,NEUROG3,ATF6
DCP1A,ANKRA2,FXR2
POLR3F,FOXL1,ATF7
ZNF202,PBX3,MAFG
EYA3,HNF1B,MEF2C
CRX,SOX17,GTF3C1
PITX1,MYF5,HSF2
SERTAD2,RUVBL1,NR1I2
MED23,BATF,CDC5L
YEATS4,IRF5,MAML3
HMG20A,PHF21A,RUVBL2
PCBD1,SATB2,FOSB
POLR2B,ARID4A,POLR2C
ASCL1,HIVEP1,RFX5
,FUBP1,
,WWTR1,WWTR1
,MYOD1,MYOD1
,ZBTB16,ZBTB16
,BCL11B,BCL11B
,CDX2,CDX2
,WT1,WT1
,MAX,MAX
,LYL1,
,STAT3,STAT3
,JUN,JUN
,MAFB,
,VHL,VHL
,SMAD2,SMAD2
,HMGA2,HMGA2
,IKBKB,IKBKB
,HNF1A,HNF1A
,NPM1,NPM1
,PBX1,PBX1
,HOXD13,HOXD13
,MLLT10,
,CBFB,CBFB
,SMAD4,SMAD4
,NCOR2,NCOR2
,EZH2,EZH2
,NR4A3,NR4A3
,NSD1,NSD1
,ETV4,ETV4
,SPEN,SPEN
,HOXA11,HOXA11
,AR,AR
,RB1,RB1
,CTCF,CTCF
,PSIP1,
,NCOA2,NCOA2
,BCOR,BCOR
,STAT6,STAT6
,NOTCH2,NOTCH2
,NCOR1,NCOR1
,ABL1,ABL1
,HIF1A,HIF1A
,NKX2-1,NKX2-1
,ERCC3,ERCC3
,FOXO3,FOXO3
,ARNT,ARNT
,BRCA2,BRCA2
,TFE3,TFE3
,HLF,HLF
,NONO,NONO
,NFIB,NFIB
,ETV6,ETV6
,DEK,DEK
,AFF1,
,ATF1,ATF1
,MLLT3,MLLT3
,CEBPA,CEBPA
,CNOT3,CNOT3
,TLX1,TLX1
,PRRX1,PRRX1
,APC,APC
,PML,PML
,DDIT3,DDIT3
,MAF,MAF
,KAT6A,
,CREB3L2,
,NFE2L2,NFE2L2
,ATM,ATM
,TCF7L2,TCF7L2
,TRIM24,TRIM24
,FOXA1,FOXA1
,BTG1,BTG1
,TRRAP,TRRAP
,TCF12,TCF12
,MDM4,MDM4
,LEF1,LEF1
,PAX5,PAX5
,CIC,CIC
,IRF4,IRF4
,NAB2,NAB2
,HEY1,HEY1
,FOXO4,FOXO4
,DAXX,DAXX
,HOXC13,HOXC13
,TRIM27,TRIM27
,OLIG2,
,XPC,XPC
,BCL11A,BCL11A
,SMARCE1,SMARCE1
,KDM5A,KDM5A
,MLLT1,
,TCF3,TCF3
,GATA1,GATA1
,ELK4,ELK4
,EWSR1,EWSR1
,ETV1,ETV1
,DNMT3A,DNMT3A
,SMARCD1,SMARCD1
,ESR1,ESR1
,ELF4,ELF4
,FUS,FUS
,DDB2,DDB2
,MITF,MITF
,FLI1,FLI1
,SOX2,SOX2
,PBRM1,
,CHD4,CHD4
,PATZ1,PATZ1
,ZMYM2,ZMYM2
,KLF6,KLF6
,HMGA1,HMGA1
,CTNNB1,CTNNB1
,SMARCA4,SMARCA4
,ZFHX3,ZFHX3
,IKZF1,IKZF1
,MED12,
,MYC,MYC
,MNDA,RUNX2
,NKRF,ZHX2
,RORC,COIL
,APBB2,ZBTB32
,LHX2,PKNOX1
,IRF9,SSRP1
,HNF4G,HMGN1
,BAZ1A,NFATC1
,HIVEP2,EN2
,MYF6,HIC1
,SOX11,SUPT16H
,EN1,WBP11
,CHD8,TAF15
,NCOA4,DRAP1
,HDAC7,MCM7
,CSRP2,DACH1
,HR,OTX2
,ILF3,HMGN2
,KLF1,SMARCA2
,JMJD1C,NFATC4
,NR2F6,HAND1
,FOSL2,NOTCH4
,ING2,ASCL1
,SAP30BP,ELF3
,ANKRD2,PER2
,NFIX,PAWR
,SOS1,NEUROD1
,ATF6B,NFKBIA
,SF1,MXD1
,SERTAD3,TCOF1
,GATA6,
,HOXD12,
,ELF2,
,NR1I2,
,RUVBL2,
,RFX5,
,ZBTB32,
,ZNF638,
,HMGN1,
,SSBP2,
,EN2,
,HIC1,
,WBP11,
,DLX2,
,HMGN2,
,PAPOLA,
,EZH1,
,HAND1,
,PAWR,
,ZNF451,
,MED17,
,VGLL1,
,GTF3C3,
,ASCC3,
,HESX1,
,DCP1A,
,TCF21,
,SERTAD2,
,SP2,
,CSRP3,
,MEOX2,
,GTF3C4,
,PBX2,
,ZFP36,
,TSC22D4,
,CNOT7,
,ZNF446,
,CNOT8,
,EYA3,
,RAD54B,
,HIRA,
,ESPL1,
,HCLS1,
,,FOXP1
,,HOXA13
,,SRSF3
,,EBF1
,,DDX5
